Date, ALBSA: Aleutian Low - Beaufort Sea Anticyclone https://psl.noaa.gov/data/timeseries/ALBSA/ Using 850mb height from  NCEP R1 4 pts:
1948-01-01,  -41.032
1948-02-01,   78.172
1948-03-01,  161.387
1948-04-01,  291.000
1948-05-01,  -87.290
1948-06-01,  -14.200
1948-07-01,  130.710
1948-08-01,  178.839
1948-09-01,   91.600
1948-10-01,  -42.129
1948-11-01,   19.200
1948-12-01,  127.484
1949-01-01,  179.807
1949-02-01,   75.464
1949-03-01,   59.194
1949-04-01,  -30.000
1949-05-01,   27.839
1949-06-01,   41.667
1949-07-01,  117.484
1949-08-01,  145.032
1949-09-01,  -58.300
1949-10-01,   35.839
1949-11-01,  -85.733
1949-12-01,  104.419
1950-01-01,  296.710
1950-02-01,  -71.678
1950-03-01,  -88.581
1950-04-01,  -18.800
1950-05-01,  -30.000
1950-06-01,  101.500
1950-07-01,   59.290
1950-08-01,  104.355
1950-09-01,   -8.433
1950-10-01,   -4.936
1950-11-01,  215.633
1950-12-01,  -49.581
1951-01-01,   62.903
1951-02-01,  138.000
1951-03-01,  -46.032
1951-04-01, -106.233
1951-05-01,  -79.936
1951-06-01,  -40.167
1951-07-01,  156.839
1951-08-01,  117.355
1951-09-01,  -48.967
1951-10-01,   44.871
1951-11-01,   35.600
1951-12-01,  240.807
1952-01-01,   46.419
1952-02-01,  -83.379
1952-03-01,  -24.613
1952-04-01,    8.700
1952-05-01,   88.193
1952-06-01,   -8.167
1952-07-01,  102.290
1952-08-01,   92.774
1952-09-01,  -34.433
1952-10-01,    2.065
1952-11-01,  -70.267
1952-12-01, -182.548
1953-01-01, -184.807
1953-02-01, -103.179
1953-03-01,   19.323
1953-04-01,  -64.900
1953-05-01, -147.226
1953-06-01,  120.900
1953-07-01,   98.677
1953-08-01,  168.161
1953-09-01,   34.800
1953-10-01, -105.484
1953-11-01,  -56.067
1953-12-01, -140.484
1954-01-01,   88.032
1954-02-01,   11.250
1954-03-01,  197.323
1954-04-01,   50.200
1954-05-01,   -2.452
1954-06-01, -121.500
1954-07-01,  147.065
1954-08-01,  221.548
1954-09-01,  138.600
1954-10-01, -188.452
1954-11-01,  -73.667
1954-12-01,   46.258
1955-01-01,  -53.194
1955-02-01,  157.893
1955-03-01,   42.032
1955-04-01,   75.100
1955-05-01, -121.871
1955-06-01,   70.167
1955-07-01,  135.484
1955-08-01,  124.097
1955-09-01,   97.067
1955-10-01,  -33.548
1955-11-01,  -16.533
1955-12-01,  103.387
1956-01-01,   59.097
1956-02-01,   91.069
1956-03-01,  -30.032
1956-04-01,   32.233
1956-05-01,  -58.516
1956-06-01,  -17.900
1956-07-01,  184.774
1956-08-01,   43.710
1956-09-01,   96.167
1956-10-01,  106.258
1956-11-01,  -24.500
1956-12-01,  -94.161
1957-01-01,  279.936
1957-02-01,   23.500
1957-03-01,  -49.613
1957-04-01,   84.933
1957-05-01,  -64.581
1957-06-01,   -1.633
1957-07-01,   98.226
1957-08-01,  176.226
1957-09-01, -119.767
1957-10-01,   57.710
1957-11-01, -112.233
1957-12-01,  -10.419
1958-01-01, -195.839
1958-02-01, -232.607
1958-03-01,  143.065
1958-04-01,   26.867
1958-05-01,  -12.355
1958-06-01,  -43.333
1958-07-01,   15.226
1958-08-01,   22.064
1958-09-01,   30.900
1958-10-01,   47.613
1958-11-01,   -7.467
1958-12-01, -176.355
1959-01-01,  -67.290
1959-02-01,  153.000
1959-03-01, -112.193
1959-04-01,   47.367
1959-05-01,  -27.290
1959-06-01,   49.967
1959-07-01,   94.032
1959-08-01,   66.774
1959-09-01,  -52.200
1959-10-01,  -53.968
1959-11-01, -147.500
1959-12-01,    4.968
1960-01-01,  -15.193
1960-02-01,  -30.448
1960-03-01,  -38.129
1960-04-01,  -80.800
1960-05-01,  -83.097
1960-06-01,   33.367
1960-07-01,   68.581
1960-08-01,   62.677
1960-09-01,   38.367
1960-10-01,  -64.968
1960-11-01,  -95.233
1960-12-01,  -73.193
1961-01-01, -207.871
1961-02-01, -104.893
1961-03-01, -186.903
1961-04-01,   98.967
1961-05-01,    9.548
1961-06-01,   51.500
1961-07-01,  164.226
1961-08-01,   17.516
1961-09-01,  136.100
1961-10-01,   68.129
1961-11-01,  119.933
1961-12-01, -109.064
1962-01-01,  131.936
1962-02-01,  134.214
1962-03-01,   51.581
1962-04-01,   20.233
1962-05-01,   88.548
1962-06-01,  143.333
1962-07-01,  158.419
1962-08-01,  155.065
1962-09-01,   34.267
1962-10-01,  -63.129
1962-11-01, -125.900
1962-12-01,  -34.419
1963-01-01,   -1.258
1963-02-01, -162.000
1963-03-01,  218.194
1963-04-01,   94.000
1963-05-01,   94.484
1963-06-01,   12.067
1963-07-01,  197.774
1963-08-01,  164.000
1963-09-01,  -66.100
1963-10-01,  -92.258
1963-11-01,  -67.700
1963-12-01, -105.226
1964-01-01,  -84.452
1964-02-01,  -61.897
1964-03-01,   52.129
1964-04-01,  121.400
1964-05-01,  155.097
1964-06-01,  -23.400
1964-07-01,   89.774
1964-08-01,   56.484
1964-09-01,   57.500
1964-10-01,   36.645
1964-11-01,  -35.600
1964-12-01,   82.839
1965-01-01, -122.258
1965-02-01,  -31.679
1965-03-01,   58.484
1965-04-01,  133.900
1965-05-01,   50.000
1965-06-01,  -76.733
1965-07-01,   90.871
1965-08-01,  178.548
1965-09-01,    6.233
1965-10-01,    0.516
1965-11-01,  262.367
1965-12-01,  112.355
1966-01-01,  -39.032
1966-02-01,  193.643
1966-03-01,  -83.871
1966-04-01,   -7.533
1966-05-01,   75.323
1966-06-01,   10.200
1966-07-01,  127.581
1966-08-01,  -24.548
1966-09-01,   -7.033
1966-10-01,  -68.710
1966-11-01,  224.067
1966-12-01,  -47.903
1967-01-01,  144.129
1967-02-01,   27.679
1967-03-01,  278.645
1967-04-01,  250.933
1967-05-01,   73.064
1967-06-01,    1.000
1967-07-01,  265.226
1967-08-01,  101.839
1967-09-01, -198.467
1967-10-01,  -42.871
1967-11-01,   96.667
1967-12-01,   43.613
1968-01-01,  184.613
1968-02-01, -195.138
1968-03-01,  -26.548
1968-04-01,  -55.233
1968-05-01,    3.000
1968-06-01,   -7.700
1968-07-01,   38.645
1968-08-01,    8.710
1968-09-01,  -31.233
1968-10-01,   41.064
1968-11-01, -291.900
1968-12-01,  132.419
1969-01-01,  237.645
1969-02-01,  -90.036
1969-03-01,   47.452
1969-04-01,  -40.300
1969-05-01,  -54.903
1969-06-01,  -50.067
1969-07-01,  158.968
1969-08-01,  171.193
1969-09-01,  -15.500
1969-10-01,  -96.484
1969-11-01,  -78.900
1969-12-01, -201.226
1970-01-01, -174.613
1970-02-01, -212.250
1970-03-01, -149.516
1970-04-01,   -9.600
1970-05-01,  -74.613
1970-06-01,   11.767
1970-07-01,   35.677
1970-08-01,   91.452
1970-09-01,   38.000
1970-10-01,  108.387
1970-11-01,  244.033
1970-12-01,  113.807
1971-01-01,   16.323
1971-02-01, -112.536
1971-03-01,  -46.290
1971-04-01,  -83.033
1971-05-01,  -87.032
1971-06-01,    3.700
1971-07-01,   91.032
1971-08-01,   60.193
1971-09-01,   60.833
1971-10-01,  141.484
1971-11-01,   51.033
1971-12-01,  175.387
1972-01-01,   59.065
1972-02-01,  -73.104
1972-03-01,   -2.968
1972-04-01,   41.800
1972-05-01,   -4.710
1972-06-01,   18.000
1972-07-01,   71.807
1972-08-01,   71.064
1972-09-01,   16.033
1972-10-01,  122.419
1972-11-01,  -64.067
1972-12-01,   57.226
1973-01-01,  102.516
1973-02-01,   55.179
1973-03-01,  -73.903
1973-04-01,  -79.300
1973-05-01, -108.484
1973-06-01,  -36.333
1973-07-01,  118.871
1973-08-01,  184.419
1973-09-01,   47.167
1973-10-01,   44.419
1973-11-01,  199.933
1973-12-01,  -79.355
1974-01-01,  -46.968
1974-02-01,  -64.107
1974-03-01,  -63.710
1974-04-01, -123.467
1974-05-01,  -37.645
1974-06-01,   24.233
1974-07-01,  116.161
1974-08-01,  125.484
1974-09-01,  -16.800
1974-10-01, -176.903
1974-11-01,   18.867
1974-12-01, -108.548
1975-01-01,   44.807
1975-02-01,  -31.000
1975-03-01,  -43.323
1975-04-01,  110.700
1975-05-01, -131.355
1975-06-01,    6.800
1975-07-01,   30.000
1975-08-01,  126.032
1975-09-01,   63.700
1975-10-01,  -26.581
1975-11-01,   -7.933
1975-12-01,  -39.161
1976-01-01,  -42.581
1976-02-01,    4.276
1976-03-01,   22.032
1976-04-01,   -7.500
1976-05-01,  -35.129
1976-06-01,   50.800
1976-07-01,   45.194
1976-08-01,   86.452
1976-09-01,  -80.733
1976-10-01,  -51.839
1976-11-01,  -98.000
1976-12-01, -177.290
1977-01-01, -218.548
1977-02-01, -182.250
1977-03-01,   29.742
1977-04-01,   72.633
